Stanza_num,ORIGINAL,TRANSLATION (GNEDICH),TRANSLATION (SHENGHELI),Canto_name
126,"’Tis sweet to win, no matter how, one’s laurels,
By blood or ink; ’tis sweet to put an end
To strife; ’tis sometimes sweet to have our quarrels,
Particularly with a tiresome friend:
Sweet is old wine in bottles, ale in barrels;
Dear is the helpless creature we defend
Against the world; and dear the schoolboy spot
We ne’er forget, though there we are forgot.","Весьма отрадно славу заслужить —
Чернилами иль кровью, все едино;
Отрадно ссорой дружбу завершить,
Когда к тому имеется причина;
Отрадно добродетель защитить,
Отрадно пить изысканные вина,
Отраден нам родного неба свет,
Уроки и забавы детских лет.","Приятно ла́вровый себе добыть венец, —
Мечом или пером. Приятно миром ссору
Покончить, а порой, — коль надоест глупец, —
То и поссориться. Приятно — к разговору —
Винцо старинное иль пиво наконец!
Приятно отогнать озлобленную свору
От беззащитных жертв. И дорог школьный класс:
Нам не забыть его, хоть там забыли нас.",Canto the First
127,"But sweeter still than this, than these, than all,
Is first and passionate love—it stands alone,
Like Adam’s recollection of his fall;|||asimov-175|||
The tree of knowledge has been pluck’d—all’s known—
And life yields nothing further to recall
Worthy of this ambrosial sin, so shown,
No doubt in fable, as the unforgiven
Fire which Prometheus filch’d for us from heaven.|||asimov-176|||","Но выше всех отрад — скажу вам прямо —
Пленительная первая любовь,
Как первый грех невинного Адама,
Увы, не повторяющийся вновь!
Как Прометей, бунтующий упрямо,
Украв огонь небесный у богов,
Мы познаем блаженство — пусть однажды, —
Впервые утолив святую жажду.","Но слаще и милей всего, всегда и всюду
Страсть наша первая! Мы будем верны ей,
Как верен был Адам блистательному чуду,
Что райским яблоком он дерзко снял с ветвей!
Все в жизни кину я, все в жизни я забуду,
Но не амброзию бессмертно-грешных дней,
Чей пламень воплощен в том пламени, с которым
К нам Прометей сошел по голубым просторам!",Canto the First
128,"Man’s a strange animal, and makes strange use
Of his own nature, and the various arts,
And likes particularly to produce
Some new experiment to show his parts;
This is the age of oddities let loose,
Where different talents find their different marts;
You’d best begin with truth, and when you’ve lost your
Labour, there’s a sure market for imposture.","Конечно, человек — престранный зверь,
И странное находит примененье
Своим чудесным склонностям. Теперь
У всех экспериментом увлеченье:
Мы все стучимся в запертую дверь.
Таланты процветают, без сомненья.
Сперва поманят истиной, а там
Исподтишка и ложь, подсунут вам.","Зверь странный — человек! И странные пути
Избрал для собственной природы и умений.
Повсюду новое стремится он найти,
И делать опыты — нет выше наслаждений!
В наш век открытия в особенной части;
Талантов — ярмарка: мелькают в вечной смене.
Ищите истину, но коль обманет вас
Ваш труд, — начните лгать, и ложь спасет тотчас.",Canto the First
129,"What opposite discoveries we have seen!
(Signs of true genius, and of empty pockets.)
One makes new noses,|||asimov-177||| one a guillotine,|||asimov-178|||
One breaks your bones, one sets them in their sockets;
But vaccination certainly has been
A kind antithesis to Congreve’s rockets,|||asimov-179|||
With which the Doctor paid off an old pox,
By borrowing a new one from an ox.|||asimov-180|||","Открытий много, и тому причина —
Блестящий гений и пустой карман:
Тот делает носы, тот — гильотины.
Тот страстью к костоправству обуян.
А все-таки — открытие вакцины
Снарядам антитеза. В ряде стран
Врачи от оспы ловко откупаются:
Она болезнью бычьей заменяется.","Каких открытий мы ни видывали, право
(Знак, что талантов тьма, и только денег нет)!
Тот, выдумал носы искусственные, — браво!
Тот — гильотину. Тот — ломает вам хребет,
А этот славится искусством костоправа.
И — антитезою конгревовых ракет —
Вакцина оспы. Да, мы, как велит обычай,
Ей взятку сунули болезнью новой, — бычьей.",Canto the First
130,"Bread has been made (indifferent) from potatoes;
And galvanism has set some corpses grinning,|||asimov-181|||
But has not answer’d like the apparatus
Of the Humane Society’s beginning
By which men are unsuffocated gratis:|||asimov-182|||
What wondrous new machines have late been spinning!
I said the small-pox has gone out of late;
Perhaps it may be follow’d by the great.|||asimov-183|||","Мы хлеб теперь картофельный печем,
Мы трупы заставляем ухмыляться
Посредством гальванизма, с каждым днем
У нас благотворители плодятся,
Мы новые проекты создаем,
У нас машины стали появляться.
Покончили мы с оспой — очень рад!
И сифилис, пожалуй, устранят!","Мы из картошки печь дрянной умеем хлеб;
Под током мертвецы гримасничают знатно;
Другой прибор важней перед лицом судеб:
Он возвращает жизнь бесценную (бесплатно)
Всем задохнувшимся. Ручную прялку в склеп
Машины новые загнали — невозвратно.
Мы оспу навсегда убрали, говорят;
За нею, может быть, и старший сгинет брат.",Canto the First
131,"’Tis said the great came from America;|||asimov-184|||
Perhaps it may set out on its return,—
The population there so spreads, they say
’Tis grown high time to thin it in its turn,|||asimov-185|||
With war, or plague, or famine, any way,
So that civilisation they may learn;
And which in ravage the more loathsome evil is—
Their real lues, or our pseudo-syphilis?|||asimov-186|||","Он из Америки явился к нам,
Теперь его обратно отправляют.
Растет народонаселенье там,
Его и поубавить не мешает
Войной или чумой: ведь все друзьям
Цивилизация предоставляет.
Какая ж из общественных зараз
Опаснейшей является для нас?","Американец он. Столь язвенного брата
Нельзя ль на родину просить вернуться? Там
Уже становится немного тесновато.
Находят, что пора, воззвав к святым дарам
Цивилизации — к войне, к чуме (когда-то
Столь благодетельным) — дать воздух городам?
Но что губительней, спрошу я вас, волнуясь:
Наш псевдосифилис иль их реальный луэс?",Canto the First
132,"This is the patent-age of new inventions
For killing bodies, and for saving souls,
All propagated with the best intentions;
Sir Humphry Davy’s lantern, by which coals
Are safely mined for in the mode he mentions,|||asimov-187|||
Tombuctoo travels,|||asimov-188||| voyages to the Poles,|||asimov-189|||
Are ways to benefit mankind, as true,
Perhaps, as shooting them at Waterloo.|||asimov-190|||","Наш век есть век прекрасных разговоров,
Убийства тела и спасенья душ,
Изобретений и ученых споров.
Сэр Хэмфри Дэви — сей ученый муж —
Изобретает лампы для шахтеров.
Мы посещаем полюсы к тому ж.
И все идет на пользу человечью:
И Ватерлоо, и слава, и увечья.","И на спасенье душ, и на дробленье тел
Наш век все новые берет себе патенты,
Их рекламируя. Вот лампочку сумел
Дать Хамфри Дэви; с ней идут эксперименты,
Но все же в рудниках шахтер стал вдвое смел.
Мы ездим к полюсам; в Тимбу́кту ввозим ленты, —
И это более полезно и светло
Для человечества, чем бой под Ватерло.",Canto the First
133,"Man’s a phenomenon, one knows not what,
And wonderful beyond all wondrous measure;
’Tis pity though, in this sublime world, that
Pleasure’s a sin, and sometimes sin’s a pleasure;
Few mortals know what end they would be at,
But whether glory, power, or love, or treasure,
The path is through perplexing ways, and when
The goal is gain’d, we die, you know—and then—","Непостижимо слово «человек»!
И как постичь столь странное явленье?
Пожалуй, сам он знает меньше всех
Своих земных путей предназначенье.
Мне очень жаль, что наслажденье — грех,
А грех — увы! — нередко наслажденье.
Любой из нас идет своим путем,
Живет и умирает... А потом?","И правда: человек— загадочный феномен,
Сверхудивительный! Досадно только то,
Что наслажденье — грех. Порой же (буду скромен)
Грех — наслаждение. Не ведает никто,
Как он закончит жизнь. Наш путь извилист, темен, —
Будь слава, власть, любовь, богатство — ни за что
Не отвертеться нам: всем выйти на дорогу,
Где караулит смерть. А там? А там... Ей-богу",Canto the First
134,"What then?—I do not know, no more do you—
And so good night.—Return we to our story:
’Twas in November, when fine days are few,
And the far mountains wax a little hoary,
And clap a white cape on their mantles blue;
And the sea dashes round the promontory,
And the loud breaker boils against the rock,
And sober suns must set at five o’clock.","Ну что «потом»? Ни вы, ни я не знаем.
Спокойной ночи! Ждет меня рассказ.
Стоял ноябрь, туманы нагоняя;
Надвинув башлыки до самых глаз,
Белели горы. В скалы ударяя,
Ревел прибой. И в очень ранний час,
Покорное режиму неизменно,
Ложилось солнце — скромно и степенно.","Не знаю, как и вы. Желаю потому
Я доброй ночи вам и возвращаюсь к теме.
Уже стоял ноябрь; дни признавали тьму,
И горы снежный плащ накинули на темя
Сверх шали голубой, спадавшей на кайму
Вечнозеленых рощ, и океан все время
Ревел и буйствовал, мчась мысы размывать,
И солнце скромное садилось ровно в пять.",Canto the First
135,"’Twas, as the watchmen say, a cloudy night;
No moon, no stars, the wind was low or loud
By gusts, and many a sparkling hearth was bright
With the piled wood, round which the family crowd;
There’s something cheerful in that sort of light,
Even as a summer sky’s without a cloud:
I’m fond of fire, and crickets, and all that,
A lobster salad, and champagne, and chat.","Была, как часовые говорят,
«Глухая ночь», когда кричит сова,
И воет ветер, и в печи горят
Приветливо и весело дрова
И путника усталого манят,
Как солнечного неба синева...
(Люблю огонь, шампанское, жаркое,
Сверчков, и болтовню, и все такое!)","Как сторожа́ потом ночные вспоминали,
Ночь мглистая была, без звезд и без луны.
Был ветер бешеный. Во всех домах пылали
Камины, углями лучистыми полны.
Люблю их мирный свет не менее, чем дали
Небес безоблачных, — для сердца так нужны
Очаг и прочее: сверчка напев уютный,
Омары и вино и разговор беспутный.",Canto the First
136,"’Twas midnight—Donna Julia was in bed,
Sleeping, most probably,—when at her door
Arose a clatter might awake the dead,
If they had never been awoke before,
And that they have been so we all have read,
And are to be so, at the least, once more;—
The door was fasten’d, but with voice and fist
First knocks were heard, then “Madam—Madam—hist!","В постели донна Юлия была;
Спала, наверно. Вдруг у самой двери
Ужасная возня произошла...
Я, правда, в жизнь загробную не верю,
Но мертвых разбудить она могла,
Я заявляю вам, не лицемеря.
Потом раздался голос: «Ах, творец!
Сударыня! Сударыня! Конец!","Уж полночь. Джулия давно уже легла
И, видимо, спала. Вдруг в дверь заколотили
С такою силою, что грешные тела
Покойников могли б воскреснуть вмиг в могиле, —
Как было некогда и будет. — То была
Служанка верная (такие вам служили?),
Что в запертую дверь ломилась, вопия:
«Сударыня, скорей, откройте, это я!»",Canto the First
137,"“For God’s sake, Madam—Madam—here’s my master,
With more than half the city at his back—
Was ever heard of such a curst disaster!
’Tis not my fault—I kept good watch—Alack!
Do pray undo the bolt a little faster—
They’re on the stair just now, and in a crack
Will all be here; perhaps he yet may fly—
Surely the window’s not so |||italics|||very|||/italics||| high!”","Сударыня! Хозяин за дверями,
Сюда ведет полгорода с собою!
Ах, я не виновата перед вами!
Я не спала! Вот горе-то какое!
Откройте им скорей! Откройте сами!
Они уже на лестнице; гурьбою
Идут сюда! Но убежать легко:
Он молод, и окно невысоко!..»","Скорей, сударыня! Откройте, бога ради!
Там ваш супруг и с ним полгорода сюда
Идет! Я ни при чем. Сидела как в засаде
Я у парадного. Случалось ли когда
Беда подобная? Они проникли сзади:
Они на лестнице! Нет у людей стыда!
Откройте же скорей! Быть может, |||italics|||он|||/italics||| успеет
В окошко выпрыгнуть. Невысоко! Сумеет!»",Canto the First
138,"By this time Don Alfonso was arrived,
With torches, friends, and servants in great number;
The major part of them had long been wived,
And therefore paused not to disturb the slumber
Of any wicked woman, who contrived
By stealth her husband’s temples to encumber:
Examples of this kind are so contagious,","Но в этот миг Альфонсе показался
В толпе друзей, средь факелов и слуг;
Никто из них ничуть не постеснялся
Прелестной донне причинить испуг;
У многих лоб уже давно чесался
От шалостей хорошеньких супруг, —
Примеры заразительны такие:
Простишь |||italics|||одну|||/italics||| — начнут шалить |||italics|||другие!|||/italics|||","Сам дон Альфонзо тут с толпой друзей и слуг,
В сверканье факелов, явился. Меж друзьями,
Давно вкусившими от брачных уз и мук,
Всяк был готов спугнуть, ворвавшись в спальню к даме,
Сон нечестивицы, отважившейся вдруг
Супружью голову обременить рогами:
Столь заразителен презренный этот грех,
Что извини |||italics|||одну|||/italics|||, так не удержишь |||italics|||всех|||/italics|||.",Canto the First
139,"I can’t tell how, or why, or what suspicion
Could enter into Don Alfonso’s head;
But for a cavalier of his condition
It surely was exceedingly ill-bred,
Without a word of previous admonition,
To hold a levee round his lady’s bed,
And summon lackeys, arm’d with fire and sword,
To prove himself the thing he most abhorr’d.","Не понимаю, как и отчего
Безумное закралось подозренье,
Но грубости идальго моего
Не нахожу я даже извиненья.
Ревнивец безрассудный! От кого,
Чему и где искал он подтвержденья,
Ворвавшись в дом с толпой ретивых слуг?
Тому, что он — обманутый супруг.","Не знаю, почему и что за подозренья
У дон Альфонзо вдруг возникли в голове,
Но, право, дворянин такого положенья
Постыдно поступил, добычу дав молве:
Созвать чужих людей и без предупрежденья
У ложа дамского устраивать levée
Перед лакеями, снабженными оружьем, —
Чтоб доказать, что сам отбросом стал супружьим!",Canto the First
140,"Poor Donna Julia! starting as from sleep
(Mind—that I do not say—she had not slept),
Began at once to scream, and yawn, and weep;
Her maid Antonia, who was an adept,
Contrived to fling the bed-clothes in a heap,
As if she had just now from out them crept:
I can’t tell why she should take all this trouble
To prove her mistress had been sleeping double.","Проснулась донна Юлия и стала
Вздыхать, стонать и жалобно зевать,
А верная Антония ворчала,
Что донне помешали почивать.
Она поспешно взбила одеяло,
Подушки взгромоздила на кровать,
Чтоб показать ревнивому герою.
Что на кровати, точно, спали |||italics|||двое|||/italics||| —","Бедняжка Джулия! Внезапно пробудясь
(Ведь я не говорил, что не спала плутовка),
Зеваючи, стенать и хныкать принялась;
Антония, ее служанка, очень ловко
В ком сбила простыни, тем показать стремясь,
Что и она вот здесь лежала. Маскировка —
Не ведаю чего: не вижу прока в том,
Чтоб вновь доказывать, что спали тут вдвоем.",Canto the First
141,"But Julia mistress, and Antonia maid,
Appear’d like two poor harmless women, who
Of goblins, but still more of men afraid,
Had thought one man might be deterr’d by two,
And therefore side by side were gently laid,
Until the hours of absence should run through,
And truant husband should return, and say,
“My dear, I was the first who came away.”","Служанка с госпожой. Не без причин
Красавицы пугливы. В самом деле:
Страшась и привидений и мужчин,
Разумно спать вдвоем в одной постели,
Пока не возвратится господин.
А он еще последние недели
Приходит очень поздно, как на грех,
Ворча, что «возвратился раньше всех»!","Но и у госпожи, и у служанки были
Невинные глаза, — как будто, домовых
Или воров боясь, две женщины решили,
Что струсит вор, один, увидя их двоих, —
И мирно рядышком в кровати опочили,
Покуда не пройдет чреда часов ночных
И загулявший муж не явится, виляя:
«Я раньше всех ушел с пирушки, дорогая!»",Canto the First
142,"Now Julia found at length a voice, and cried,
“In heaven’s name, Don Alfonso, what d’ye mean?
Has madness seized you? would that I had died
Ere such a monster’s victim I had been!
What may this midnight violence betide,
A sudden fit of drunkenness or spleen?
Dare you suspect me, whom the thought would kill?
Search, then, the room!”—Alfonso said, “I will.”","Тут наша донна голос обрела:
«В уме ль вы, дон Альфонсо? Что случилось?
Какая вас причуда привела?
Что с перепою ночью вам приснилось?
Зачем до свадьбы я не умерла?
Я жертвою чудовища явилась!
Ищите же! Но я вам не прощу!..»
Альфонсо мрачно молвил: «Поищу!»","Тут донна Джулия вновь голос обрела:
«Во имя неба, дон Альфонзо, что такое?
Вы что, — с ума сошли? Я б лучше умерла,
Чем быть чудовища подобного женою!
Вы пьяны? Или желчь мозги вам залила?
Что за вторжение полуночной порою?
Подозревать! Меня! Кого и мысль о том
Убьет! Ищите же!» — Супруг в ответ: «Начнем».",Canto the First
143,"|||italics|||He|||/italics||| search’d, |||italics|||they|||/italics||| search’d, and rummaged everywhere,
Closet and clothes’ press, chest and window-seat,
And found much linen, lace, and several pair
Of stockings, slippers, brushes, combs, complete,
With other articles of ladies fair,
To keep them beautiful, or leave them neat:
Arras they prick’d and curtains with their swords,
And wounded several shutters, and some boards.","И он и все, кто с ним пришел, искали:
Комоды перерыли, сундуки,
Нашли белье и кружевные шали,
Гребенки, туфли, тонкие чулки
(Чем женщины от века украшали
Часы безделья, неги и тоски),
Потом еще потыкали с отвагой
Во все диваны и портьеры шпагой.","Он начал, и они все осмотрели всюду:
Шкаф, подоконники, лари и сундуки;
Нашли тьму вышивок и лент и кружев груду,
Ботинки, щеточки, чулки и гребешки
И всевозможный вздор, — всю дамскую причуду,
Что служит красоте и чистоте. — Клинки
Их неподкупных шпаг пронзали гобелены
И поцарапали всю мебель, ставни, стены.",Canto the First
144,"Under the bed they search’d, and there they found—
No matter what—it was not that they sought;
They open’d windows, gazing if the ground
Had signs or footmarks, but the earth said nought;
And then they stared each other’s faces round:
’Tis odd, not one of all these seekers thought,
And seems to me almost a sort of blunder,
Of looking |||italics|||in|||/italics||| the bed as well as under.","Иные заглянули под кровать
И там нашли... не то, чего хотели,
Окно открыли, стали толковать,
Что и следов не видно, в самом деле!
Посовещались шепотом опять
И комнату вторично оглядели,
Но странно: ни один не мог смекнуть,
Что и в |||italics|||постель|||/italics||| бы надо заглянуть!","Иные под кровать полезли, не стыдясь;
Нашли... неважно, что; не то, чего им надо.
Из окон глянули: хранит, быть может, грязь
Следы проворных ног: но нет следов, — досада!
Стоят, глаза раскрыв, смущением томясь;
Мне непонятно, как никто не бросил взгляда
И рук не запустил (что может быть верней?)
В постель просторную, — искали же под ней.",Canto the First
145,"During this inquisition, Julia’s tongue
Was not asleep—“Yes, search and search,” she cried,
“Insult on insult heap, and wrong on wrong!
It was for this that I became a bride!
For this in silence I have suffer’d long
A husband like Alfonso at my side;
But now I’ll bear no more, nor here remain,
If there be law or lawyers in all Spain.","«Ищите всюду! — Юлия кричала. —
Отныне ваша низость мне ясна!
Как долго я терпела и молчала,
Такому зверю в жертву отдана!
Смириться попыталась я сначала!
Альфонсо! Я вам больше не жена!
Я не стерплю! Я говорю заранее!
И суд и право я найду в Испании!","А джульин язычок побушевал немало 
Во время обыска: «Ищите же, подлец, 
Ищите! К сраму срам! Щедрей! — она кричала, —
Так вот для этого пошла я под венец! 
Для этого — года в безмолвии страдала
С подобным муженьком! Но есть всему конец! 
Терпеть не стану я! Покину дом проклятый, 
Коль есть в Испании суды и адвокаты!",Canto the First
146,"“Yes, Don Alfonso! husband now no more,
If ever you indeed deserved the name,
Is’t worthy of your years?—you have threescore—
Fifty, or sixty, it is all the same—
Is’t wise or fitting, causeless to explore
For facts against a virtuous woman’s fame?
Ungrateful, perjured, barbarous Don Alfonso,
How dare you think your lady would go on so?","Вы мне не муж, Альфонсо! Спору нет —
Вам и названье это не пристало!
Подумайте! Вам трижды двадцать лет!
За пятьдесят — и то уже немало!
Вы грубостью попрали этикет!
Вы чести осквернили покрывало!
Вы негодяй, вы варвар, вы злодей, —
Но вы жены не знаете своей!","«Да, дон Альфонсо, да! Вы не супруг мне впредь,
Хоть это имя вам и не к лицу! О боже!
Достойно ль ваших лет, — вам шесть десятков ведь —
Ну да, пять или шесть, — нет разницы, всё то же, —
Достойно ль, мудро ли так на жену глядеть,
Так честь ее марать, что жизни ей дороже?
Вы варвар! Изверг вы! Наглец! Тиран вдвойне!
Как смели думать так вы о своей жене?",Canto the First
147,"“Is it for this I have disdain’d to hold
The common privileges of my sex?
That I have chosen a confessor so old
And deaf, that any other it would vex,
And never once he has had cause to scold,
But found my very innocence perplex
So much, he always doubted I was married—
How sorry you will be when I’ve miscarried!","Напрасно, вам доставить не желая
Ревнивого волненья, вопреки
Советам всех подруг, себе взяла я
Глухого старика в духовники!
Но даже он однажды, отпуская
Мои невинно-детские грехи,
С улыбкою сказал шутливо все же,
Что я на дам замужних не похожа!","«И отказалась я для изверга такого
От женских прав моих, избрав духовником
Столь престарелого аббата, столь глухого,
Что не хотел никто и помышлять о нем.
И укоризны я не слышала ни слова
Ни разу от него! Он допускал с трудом,
Что я — в замужестве, мою невинность видя!
О, как бы он скорбел, узрев меня в обиде!",Canto the First
148,"“Was it for this that no Cortejo|||asimov-191||| e’er
I yet have chosen from out the youth of Seville?
Is it for this I scarce went anywhere,
Except to bull-fights, mass, play, rout, and revel?
Is it for this, whate’er my suitors were,
I favor’d none—nay, was almost uncivil?
Is it for this that General Count O’Reilly,|||asimov-192|||
Who took Algiers,|||asimov-193||| declares I used him vilely?","Из юношей Севильи никого
Моим кортехо я не называла.
Что видела я в жизни? — Ничего!
Бои быков, балы да карнавалы!
Суровой честью нрава моего
Я всех моих поклонников пугала!
Сам граф О’Рилли мной отвергнут был,
Хоть он Алжир геройски покорил.","«Итак, для этого я не желала брать
В cortejo никого из юных севильянцев!
Сидела взаперти года, коль не считать
Месс, тавромахии, театра, раутов, танцев!
Для этого моих поклонников страдать
Я заставляла, — всех, и даже иностранцев,
Что уж невежливо. О’Рили, генерал,
Что взял Алжир, и тот мою суровость клял.",Canto the First
149,"“Did not the Italian Musico Cazzani
Sing at my heart six months at least in vain?
Did not his countryman, Count Corniani,|||asimov-194|||
Call me the only virtuous wife in Spain?
Were there not also Russians, English, many?
The Count Strongstroganoff I put in pain,
And Lord Mount Coffeehouse, the Irish peer,
Who kill’d himself for love (with wine) last year.","Не мне ль певец прославленный Каццани
Шесть месяцев романсы распевал
И не меня ль прекрасный граф Корньяни
Испанской добродетелью назвал?
У ног моих бывали англичане,
Граф Строганов к любви моей взывал,
Лорд Кофихаус, не вымолив пощады,
Убил себя вином в пылу досады!","«А римский музыкант, блистательный Каццани, 
Не пел полгода мне напрасно серенад?
Не утверждал его земляк, граф Корниани,
Что всех испанских дам я чище во сто крат?
А эти русские, а эти англичане?
Сам граф Стронгстроганов был мною ввергнут в ад.
А тот, ирландский пэр, лорд О’Трактир, влюбившись
В меня, не так давно убил себя, опившись!",Canto the First
150,"“Have I not had two bishops at my feet,
The Duke of Ichar, and Don Fernan Nunez?
And is it thus a faithful wife you treat?
I wonder in what quarter now the moon is:|||asimov-195|||
I praise your vast forbearance not to beat
Me also, since the time so opportune is—
O, valiant man! with sword drawn and cock’d trigger,
Now, tell me, don't you cut a pretty figure?","А как в меня епископ был влюблен?
А герцог Айкр? А дон Фернандо Нуньес?
Так вот каков удел покорных жен:
Нас оскорбляет бешеный безумец —
К себе домой нахально, как в притон,
Приводит он ораву с грязных улиц!
Ну что же вы стоите? Может быть,
Жену вы пожелаете избить?","«Не два ль епископа (дон Фернан Нуньец и —
Сам герцог Айшерский) у ног моих лежали?
И |||italics|||мне|||/italics||| бросаете вы мерзости свои?
Не полнолуние ль теперь у нас? Едва ли
Я удивлюсь, коль вы, в похвальном забытьи,
Меня прибьете. Что ж: начните, без печали.
О, храбрый воин мой! Меч, пистолет, — увы!
Скажите мне теперь: ну, не прелестны вы?",Canto the First
151,"“Was it for this you took your sudden journey,
Under pretence of business indispensable
With that sublime of rascals your attorney,
Whom I see standing there, and looking sensible
Of having play’d the fool? though both I spurn, he
Deserves the worst, his conduct’s less defensible,
Because, no doubt, ’twas for his dirty fee,
And not from any love to you nor me.","Так вот зачем вчера вы толковали,
Что будто уезжаете куда-то!
Я вижу, вы законника призвали:
Подлец молчит и смотрит виновато!
Такую массу глупостей едва ли
Придумали бы вы без адвоката!
Ему же не нужны ни вы, ни я, —
Лишь низменная выгода своя!","«Так вот он, ваш отъезд поспешный под предлогом
Дел неотложных, с ним, вон с ним, с канальей той,
Со стряпчим вашим! Ишь! Стоит в молчанье строгом.
Смущен, что дурака свалял передо мной!
Из вас, двух подлецов, мерзее — он; я богом
Клянусь: прощения нет гадости такой, —
Ведь он на гонорар презренный свой польстился,
А не за вашу честь ревниво оскорбился.",Canto the First
152,"“If he comes here to take a deposition,
By all means let the gentleman proceed;
You’ve made the apartment in a fit condition:—
There’s pen and ink for you, sir, when you need—
Let every thing be noted with precision,
I would not you for nothing should be fee’d—
But, as my maid’s undrest, pray turn your spies out.”
“Oh!” sobb’d Antonia, “I could tear their eyes out.”","Вы комнату отлично перерыли, —
Быть может, он напишет протокол?
Не зря ж ему вы деньги заплатили!
Прошу вас, сударь, вот сюда, за стол!
А вы бы, дон Альфонсо, попросили,
Чтоб этот сброд из комнаты ушел:
Антонии, я вижу, стыдно тоже!
(Та всхлипнула: «Я наплюю им в рожи!»)","«А если протокол составить хочет он, 
Пожалуйста, прошу, — какие тут стесненья?
Мой милый уголок умело разгромлен;
Берите же перо, — вон там, — без промедленья,
Составьте точный акт, — вы знаете закон, —
Ужели плату брать вам так, за погляденье?
Но девушка моя раздета; вон крючки!» —
«О, — взвыла та, — сейчас я им вцеплюсь в зрачки!» —",Canto the First
153,"“There is the closet, there the toilet, there
The antechamber—search them under, over;
There is the sofa, there the great arm-chair,
The chimney—which would really hold a lover.
I wish to sleep, and beg you will take care
And make no further noise, till you discover
The secret cavern of this lurking treasure—
And when ’tis found, let me, too, have that pleasure.","Ну что же вы стоите? Вот комод!
В камине можно спрятаться! В диване!
Для карлика и кресло подойдет!
Я больше говорить не в состоянье!
Я спать хочу! Уже четыре бьет!
В прихожей поискали бы! В чулане!
Найдете — не забудьте показать:
Я жажду это диво увидать!","«Вот здесь мой туалет, вот будуар, вот это
Прихожая, — везде ищите, здесь и там.
Вот кресло, вот софа, — здесь нет крупней предмета, —
Камин, — в нем скроется любовник, пополам
Согнувшись. Но — я спать хочу. Хоть до рассвета
Копайтесь, но прошу: умерьте шум и гам.
Когда ж найдете грот с бесценным вашим кладом,
Позвольте мне взглянуть хотя бы беглым взглядом.",Canto the First
154,"“And now, Hidalgo! now that you have thrown
Doubt upon me, confusion over all,
Pray have the courtesy to make it known
|||italics|||Who|||/italics||| is the man you search for? how d’ye call
Him? what’s his lineage? let him but be shown—
I hope he’s young and handsome—is he tall?
Tell me—and be assured, that since you stain
My honour thus, it shall not be in vain.","Ну что ж, идальго? Ваши подозренья
Пока вы не успели подтвердить?
Скажите нам хотя бы в утешенье:
Кого вы здесь надеялись открыть?
Его происхожденье? Положенье?
Он молод и прекрасен, может быть?
Поскольку мне уж больше нет спасенья,
Я оправдаю ваши опасенья!","«Коль мысли гнусные, гидальго, вам подстать,
И с подозреньями явились вы такими,
Не будете ли вы любезны мне сказать,
|||italics|||Кого|||/italics||| вы ищете? Какое носит имя
Он? Кто его родня? Хотелось бы мне знать,
Что он — хорош и юн? И ростом меж другими
Он выделяется? Я, от стыда горя,
Хочу увериться, что срам терплю не зря.",Canto the First
155,"“At least, perhaps, he has not sixty years,
At that age he would be too old for slaughter,
Or for so young a husband’s jealous fears—
(Antonia! let me have a glass of water.)
I am ashamed of having shed these tears,
They are unworthy of my father’s daughter;
My mother dream’d not in my natal hour
That I should fall into a monster’s power.","Надеюсь, что ему не пятьдесят?
Тогда бы вы не стали торопиться,
Свою жену ревнуя невпопад!..
Антония!! Подайте мне напиться!!
Я на отца похожа, говорят:
Испанке гордой плакать не годится!
Но чувствовала ль матушка моя,
Что извергу достанусь в жертву я!","«Надеюсь, что ему не шестьдесят минуло?
Он был бы слишком стар, чтоб юный муж мой мог,
Приревновав меня, в него направить дуло
(Дай мне, Антония, воды). В груди комок.
Мне стыдно этих слез: я точно обманула
Доверие отца, кто был столь тверд и строг.
О, думала ли мать в миг моего рожденья,
Что я чудовищу достанусь на съеденье?",Canto the First
156,"“Perhaps ’tis of Antonia you are jealous,
You saw that she was sleeping by my side
When you broke in upon us with your fellows:
Look where you please—we’ve nothing, sir, to hide;
Only another time, I trust, you’ll tell us,
Or for the sake of decency abide
A moment at the door, that we may be
Drest to receive so much good company.","Быть может, вас Антония смутила:
Вы видели — она спала со мной,
Когда я вашей банде дверь открыла!
Хотя бы из пристойности одной
На будущее я бы вас просила,
Когда обход свершаете ночной,
Немного подождать у этой двери
И дать одеться нам по крайней мере!","«Уж не к Антонии ль приревновать моей
Вы вздумали? Ведь мы лежали с нею вместе,
Когда ввалились вы с оравою своей.
Ищите ж, сударь мой, — что мне скрывать, по чести?
Но в следующий раз случитесь у дверей,
Хоть из приличия не сразу в спальню лезьте
И дайте время нам одеться кое-как, 
Чтоб вежливо принять столь милых забияк.",Canto the First
